;"Activity type","Duration","From","To","Comment"
"Sleep","09:24","2019-11-12 23:47","2019-11-13 09:11",
"Study","00:00","2019-11-12 23:47","2019-11-12 23:47",
"Routine","00:04","2019-11-12 23:43","2019-11-12 23:47",
"Study","01:11","2019-11-12 22:31","2019-11-12 23:43",
"Sport","01:50","2019-11-12 20:35","2019-11-12 22:25",
"Transport","00:19","2019-11-12 20:15","2019-11-12 20:35",
"Study","00:52","2019-11-12 19:16","2019-11-12 20:08",
"Me time","00:31","2019-11-12 18:44","2019-11-12 19:16",
"Productivity ","00:13","2019-11-12 18:31","2019-11-12 18:44",
"Conscious entertainment ","00:36","2019-11-12 17:54","2019-11-12 18:31",
"Food","00:39","2019-11-12 17:14","2019-11-12 17:54",
"Conscious entertainment ","00:30","2019-11-12 16:44","2019-11-12 17:14",
"Work Orphic","00:05","2019-11-12 16:38","2019-11-12 16:43",
"Productivity ","00:43","2019-11-12 15:55","2019-11-12 16:38",
"Work Orphic","00:05","2019-11-12 15:49","2019-11-12 15:55",
"Productivity ","00:08","2019-11-12 15:41","2019-11-12 15:49",
"Transport","01:59","2019-11-12 13:40","2019-11-12 15:39",
"Food","00:50","2019-11-12 12:46","2019-11-12 13:37",
"Work Orphic","00:07","2019-11-12 12:39","2019-11-12 12:46",
"Work CBO","00:37","2019-11-12 12:01","2019-11-12 12:39",
"Sport","00:07","2019-11-12 11:53","2019-11-12 12:01",
"Social / family","00:15","2019-11-12 11:38","2019-11-12 11:53",
"Work Orphic","01:40","2019-11-12 09:51","2019-11-12 11:31",
"Food","00:23","2019-11-12 09:28","2019-11-12 09:51",
"Routine","00:19","2019-11-12 09:08","2019-11-12 09:28",
"Sleep","05:31","2019-11-12 03:37","2019-11-12 09:08",
"Routine","00:34","2019-11-12 00:25","2019-11-12 00:59",
"Social / family","06:25","2019-11-11 18:00","2019-11-12 00:25",
"Productivity ","00:24","2019-11-11 17:35","2019-11-11 18:00",
"Transport","02:21","2019-11-11 15:14","2019-11-11 17:35",
"Productivity ","01:25","2019-11-11 13:48","2019-11-11 15:14",
"Food","00:30","2019-11-11 13:17","2019-11-11 13:48",
"Productivity ","00:52","2019-11-11 12:24","2019-11-11 13:17",
"Study","00:55","2019-11-11 11:29","2019-11-11 12:24",
"Work Orphic","00:58","2019-11-11 10:18","2019-11-11 11:16",
"Sleep","10:47","2019-11-10 22:13","2019-11-11 09:00",
"Me time","00:16","2019-11-10 21:56","2019-11-10 22:13",
"Work Orphic","00:24","2019-11-10 21:31","2019-11-10 21:56",
"Routine","00:14","2019-11-10 21:17","2019-11-10 21:31",
"Transport","00:44","2019-11-10 20:33","2019-11-10 21:17",
"Social / family","02:40","2019-11-10 17:52","2019-11-10 20:33",
"Sport","03:29","2019-11-10 14:22","2019-11-10 17:52",
"Transport","00:23","2019-11-10 13:59","2019-11-10 14:22",
"Productivity ","00:45","2019-11-10 13:13","2019-11-10 13:58",
"Conscious entertainment ","01:22","2019-11-10 11:50","2019-11-10 13:12",
"Food","00:08","2019-11-10 11:41","2019-11-10 11:50",
"Conscious entertainment ","01:47","2019-11-10 09:54","2019-11-10 11:41",
"Me time","00:00","2019-11-10 09:54","2019-11-10 09:54",
"Work Orphic","00:42","2019-11-10 09:12","2019-11-10 09:54",
"Routine","00:29","2019-11-10 08:42","2019-11-10 09:12",
"Sleep","08:22","2019-11-10 00:19","2019-11-10 08:42",
"Routine","00:06","2019-11-10 00:13","2019-11-10 00:19",
"Work Orphic","00:43","2019-11-09 23:30","2019-11-10 00:13",
"Transport","00:07","2019-11-09 23:22","2019-11-09 23:30",
"Sport","00:47","2019-11-09 22:34","2019-11-09 23:22",
"Transport","00:15","2019-11-09 22:18","2019-11-09 22:34",
"Work Orphic","00:09","2019-11-09 22:09","2019-11-09 22:18",
"Work Orphic","00:59","2019-11-09 21:10","2019-11-09 22:09",""
"Food","00:38","2019-11-09 20:31","2019-11-09 21:10",""
"Conscious entertainment ","01:11","2019-11-09 19:20","2019-11-09 20:31",
"Work Orphic","03:32","2019-11-09 15:47","2019-11-09 19:20",
"Productivity ","00:39","2019-11-09 15:08","2019-11-09 15:47",
"Work Orphic","01:30","2019-11-09 13:37","2019-11-09 15:08",
"Social / family","01:04","2019-11-09 12:32","2019-11-09 13:37",
"Study","00:08","2019-11-09 12:23","2019-11-09 12:32",
"Work Orphic","01:06","2019-11-09 11:17","2019-11-09 12:23",
"Routine","00:05","2019-11-09 11:12","2019-11-09 11:17",
"Sleep","11:03","2019-11-08 23:53","2019-11-09 10:57",
"Routine","00:15","2019-11-08 23:37","2019-11-08 23:53",
"Work Orphic","02:23","2019-11-08 21:14","2019-11-08 23:37",
"Work Orphic","00:29","2019-11-08 20:45","2019-11-08 21:14",""
"Food","00:29","2019-11-08 20:15","2019-11-08 20:45",""
"Conscious entertainment ","01:46","2019-11-08 18:29","2019-11-08 20:15",
"Social / family","00:11","2019-11-08 18:18","2019-11-08 18:29",
"Non-class learning/prod","00:11","2019-11-08 18:07","2019-11-08 18:18",
"Work Orphic","00:54","2019-11-08 17:12","2019-11-08 18:07",
"Productivity ","00:10","2019-11-08 17:02","2019-11-08 17:12",
"Conscious entertainment ","00:09","2019-11-08 16:52","2019-11-08 17:02",
"Me time","00:51","2019-11-08 16:00","2019-11-08 16:52",
"Food","00:36","2019-11-08 15:24","2019-11-08 16:00",
"Transport","00:36","2019-11-08 14:45","2019-11-08 15:21",
"Study","00:31","2019-11-08 14:13","2019-11-08 14:45",
"Class","01:10","2019-11-08 13:02","2019-11-08 14:13",
"Productivity ","01:01","2019-11-08 12:00","2019-11-08 13:02",
"Transport","00:54","2019-11-08 11:06","2019-11-08 12:00",
"Productivity ","01:31","2019-11-08 09:34","2019-11-08 11:06",
"Food","00:17","2019-11-08 09:16","2019-11-08 09:34",
"Routine","00:54","2019-11-08 08:22","2019-11-08 09:16",
"Sleep","08:02","2019-11-08 00:19","2019-11-08 08:22",
"Routine","00:22","2019-11-07 23:56","2019-11-08 00:19",
"Conscious entertainment ","00:25","2019-11-07 23:31","2019-11-07 23:56",
"Food","00:24","2019-11-07 23:06","2019-11-07 23:31",
"Productivity ","01:16","2019-11-07 21:37","2019-11-07 22:53",
"Social / family","00:00","2019-11-07 21:37","2019-11-07 21:37",
"Sport","01:21","2019-11-07 20:15","2019-11-07 21:37",
"Transport","00:44","2019-11-07 19:30","2019-11-07 20:15",
"Social / family","00:23","2019-11-07 19:07","2019-11-07 19:30",
"Food","00:20","2019-11-07 18:46","2019-11-07 19:07",
"Productivity ","00:49","2019-11-07 17:57","2019-11-07 18:46",
"Me time","00:29","2019-11-07 17:27","2019-11-07 17:57",
"Transport","00:20","2019-11-07 17:06","2019-11-07 17:27",
"Sport","00:42","2019-11-07 16:23","2019-11-07 17:06",
"Transport","00:26","2019-11-07 15:57","2019-11-07 16:23",
"Study","00:22","2019-11-07 15:34","2019-11-07 15:57",
"Work Orphic","00:52","2019-11-07 14:42","2019-11-07 15:34",
"Default actions","00:14","2019-11-07 14:27","2019-11-07 14:42",
"Food","00:14","2019-11-07 13:20","2019-11-07 13:35",
"Routine","00:18","2019-11-07 13:02","2019-11-07 13:20",
"Sleep","12:50","2019-11-07 00:10","2019-11-07 13:00",""
"Routine","00:12","2019-11-06 23:57","2019-11-07 00:10",""
"Food","00:10","2019-11-06 23:46","2019-11-06 23:57",
"Conscious entertainment ","01:33","2019-11-06 22:12","2019-11-06 23:46",
"Productivity ","00:08","2019-11-06 22:03","2019-11-06 22:12",
"Social / family","00:00","2019-11-06 22:03","2019-11-06 22:03",
"Food","00:02","2019-11-06 22:01","2019-11-06 22:03",
"Social / family","00:55","2019-11-06 21:06","2019-11-06 22:01",
"Food","00:22","2019-11-06 20:43","2019-11-06 21:05",
"Transport","00:22","2019-11-06 20:20","2019-11-06 20:43",
"Sport","01:47","2019-11-06 18:32","2019-11-06 20:20",
"Work Orphic","00:23","2019-11-06 18:09","2019-11-06 18:32",
"Transport","00:28","2019-11-06 17:39","2019-11-06 18:07",
"Class","01:25","2019-11-06 16:13","2019-11-06 17:39",
"Transport","00:35","2019-11-06 15:37","2019-11-06 16:13",
"Productivity ","00:35","2019-11-06 15:02","2019-11-06 15:37",
"Food","00:36","2019-11-06 14:25","2019-11-06 15:02",
"Work Orphic","00:51","2019-11-06 13:33","2019-11-06 14:25",
"Default actions","01:43","2019-11-06 10:18","2019-11-06 12:02",
"Routine","01:13","2019-11-06 09:05","2019-11-06 10:18",
"Work Orphic","00:46","2019-11-06 08:17","2019-11-06 09:04",
"Productivity ","00:24","2019-11-06 07:53","2019-11-06 08:17",
"Sleep","07:18","2019-11-06 00:34","2019-11-06 07:53",
"Routine","00:18","2019-11-06 00:12","2019-11-06 00:30",
"Conscious entertainment ","00:49","2019-11-05 23:22","2019-11-06 00:12",
"Food","00:20","2019-11-05 23:02","2019-11-05 23:22",
"Transport","00:38","2019-11-05 22:24","2019-11-05 23:02",
"Sport","01:57","2019-11-05 20:27","2019-11-05 22:24",
"Transport","01:06","2019-11-05 19:10","2019-11-05 20:16",
"Conscious entertainment ","01:01","2019-11-05 18:08","2019-11-05 19:10",
"Food","00:28","2019-11-05 17:40","2019-11-05 18:08",
"Work Orphic","00:17","2019-11-05 17:22","2019-11-05 17:40",
"Productivity ","00:31","2019-11-05 16:50","2019-11-05 17:22",
"Work Orphic","00:27","2019-11-05 16:23","2019-11-05 16:50",
"Study","02:42","2019-11-05 13:40","2019-11-05 16:23",
"Work Orphic","00:30","2019-11-05 13:08","2019-11-05 13:38",
"Social / family","00:50","2019-11-05 12:18","2019-11-05 13:08",
"Food","01:26","2019-11-05 10:51","2019-11-05 12:18",
"Transport","00:23","2019-11-05 10:27","2019-11-05 10:51",
"Routine","00:42","2019-11-05 09:45","2019-11-05 10:27",
"Sleep","09:46","2019-11-04 23:59","2019-11-05 09:45",
"Conscious entertainment ","00:26","2019-11-04 23:32","2019-11-04 23:59",
"Social / family","03:36","2019-11-04 19:56","2019-11-04 23:32",
"Food","00:55","2019-11-04 19:00","2019-11-04 19:56",
"Work Orphic","00:56","2019-11-04 18:04","2019-11-04 19:00",
"Work Orphic","01:30","2019-11-04 16:30","2019-11-04 18:00",""
"Productivity ","00:40","2019-11-04 15:50","2019-11-04 16:30",""
"Transport","00:13","2019-11-04 15:36","2019-11-04 15:50",""
"Work Orphic","00:45","2019-11-04 14:50","2019-11-04 15:36",
"Productivity ","00:48","2019-11-04 14:02","2019-11-04 14:50",
"Food","00:15","2019-11-04 13:46","2019-11-04 14:02",
"Study","02:38","2019-11-04 11:08","2019-11-04 13:46",
"Food","00:27","2019-11-04 10:40","2019-11-04 11:08",
"Routine","00:25","2019-11-04 10:15","2019-11-04 10:40",
"Sleep","08:45","2019-11-04 01:30","2019-11-04 10:15",""
"Social / family","01:04","2019-11-04 00:25","2019-11-04 01:30",""
"Routine","00:36","2019-11-03 23:48","2019-11-04 00:25",
"Conscious entertainment ","00:13","2019-11-03 23:35","2019-11-03 23:48",
"Social / family","02:19","2019-11-03 21:16","2019-11-03 23:35",
"Transport","01:04","2019-11-03 20:11","2019-11-03 21:15",
"Productivity ","00:10","2019-11-03 20:01","2019-11-03 20:11",
"Food","00:41","2019-11-03 19:19","2019-11-03 20:01",
"Social / family","01:01","2019-11-03 18:17","2019-11-03 19:19",
"Transport","00:28","2019-11-03 17:49","2019-11-03 18:17",
"Work Orphic","00:37","2019-11-03 17:11","2019-11-03 17:49",
"Sport","01:18","2019-11-03 15:52","2019-11-03 17:11",
"Social / family","02:27","2019-11-03 13:24","2019-11-03 15:52",
"Transport","00:32","2019-11-03 12:51","2019-11-03 13:24",
"Work Orphic","00:28","2019-11-03 12:18","2019-11-03 12:46",
"Transport","00:44","2019-11-03 11:32","2019-11-03 12:16",
"Class","01:30","2019-11-03 10:00","2019-11-03 11:30",""
"Study","00:24","2019-11-03 09:35","2019-11-03 10:00",""
"Transport","00:25","2019-11-03 09:09","2019-11-03 09:35",
"Study","00:04","2019-11-03 09:05","2019-11-03 09:09",
"Food","00:16","2019-11-03 08:49","2019-11-03 09:05",
"Routine","00:20","2019-11-03 08:29","2019-11-03 08:49",
"Sleep","08:41","2019-11-03 00:47","2019-11-03 08:29",
"Routine","00:01","2019-11-03 00:45","2019-11-03 00:47",
"Productivity ","00:48","2019-11-02 23:57","2019-11-03 00:45",
"Sport","01:41","2019-11-02 22:15","2019-11-02 23:56",
"Transport","00:17","2019-11-02 21:45","2019-11-02 22:03",
"Work Orphic","00:24","2019-11-02 21:20","2019-11-02 21:45",
"Food","00:24","2019-11-02 21:20","2019-11-02 21:45",
"Social / family","01:11","2019-11-02 20:09","2019-11-02 21:20",
"Work Orphic","00:45","2019-11-02 19:23","2019-11-02 20:09",
"Me time","00:19","2019-11-02 19:03","2019-11-02 19:23",
"Transport","00:06","2019-11-02 18:57","2019-11-02 19:03",
"Sport","00:51","2019-11-02 18:05","2019-11-02 18:57",
"Transport","00:11","2019-11-02 17:54","2019-11-02 18:05",
"Transport","00:20","2019-11-02 17:34","2019-11-02 17:54",
"Productivity ","00:18","2019-11-02 17:15","2019-11-02 17:34",
"Work Orphic","01:48","2019-11-02 15:26","2019-11-02 17:15",
"Work Orphic","00:06","2019-11-02 15:09","2019-11-02 15:15",
"Conscious entertainment ","00:45","2019-11-02 14:23","2019-11-02 15:09",
"Productivity ","00:23","2019-11-02 13:59","2019-11-02 14:23",
"Study","00:19","2019-11-02 13:40","2019-11-02 13:59",
"Food","00:08","2019-11-02 13:31","2019-11-02 13:40",
"Study","01:09","2019-11-02 12:22","2019-11-02 13:31",
"Food","00:29","2019-11-02 11:45","2019-11-02 12:14",
"Work Orphic","00:28","2019-11-02 11:17","2019-11-02 11:45",
"Study","01:10","2019-11-02 10:07","2019-11-02 11:17",
"Work Orphic","00:19","2019-11-02 09:47","2019-11-02 10:07",
"Routine","00:19","2019-11-02 09:27","2019-11-02 09:47",
"Sleep","09:22","2019-11-01 23:36","2019-11-02 08:59",
"Routine","00:18","2019-11-01 23:16","2019-11-01 23:35",
"Social / family","03:09","2019-11-01 20:07","2019-11-01 23:16",
"Food","01:00","2019-11-01 19:06","2019-11-01 20:06",
"Work Orphic","01:07","2019-11-01 17:58","2019-11-01 19:06",
"Productivity ","02:23","2019-11-01 15:35","2019-11-01 17:58",
"Food","00:08","2019-11-01 15:27","2019-11-01 15:35",
"Food","00:17","2019-11-01 15:09","2019-11-01 15:27",
"Transport","00:26","2019-11-01 14:42","2019-11-01 15:09",
"Productivity ","01:12","2019-11-01 13:29","2019-11-01 14:42",
"Work Orphic","00:31","2019-11-01 12:58","2019-11-01 13:29",
"Food","00:23","2019-11-01 12:34","2019-11-01 12:58",
"Productivity ","00:20","2019-11-01 12:00","2019-11-01 12:20",""
"Conscious entertainment ","01:00","2019-11-01 10:59","2019-11-01 12:00",""
"Work Orphic","01:12","2019-11-01 09:47","2019-11-01 10:59",
"Food","00:10","2019-11-01 09:36","2019-11-01 09:47",
"Routine","00:06","2019-11-01 09:30","2019-11-01 09:36",
"Sleep","09:49","2019-10-31 23:23","2019-11-01 09:13",
"Routine","00:25","2019-10-31 22:58","2019-10-31 23:23",
"Food","00:00","2019-10-31 22:58","2019-10-31 22:58",
"Food","00:12","2019-10-31 22:46","2019-10-31 22:58",
"Productivity ","00:07","2019-10-31 22:38","2019-10-31 22:46",
"Conscious entertainment ","00:25","2019-10-31 22:12","2019-10-31 22:38",
"Me time","00:15","2019-10-31 21:57","2019-10-31 22:12",
"Transport","00:16","2019-10-31 21:40","2019-10-31 21:57",
"Sport","01:00","2019-10-31 20:40","2019-10-31 21:40",
"Transport","00:09","2019-10-31 20:30","2019-10-31 20:40",
"Productivity ","00:28","2019-10-31 20:01","2019-10-31 20:30",
"Study","00:53","2019-10-31 19:08","2019-10-31 20:01",
"Food","00:17","2019-10-31 18:51","2019-10-31 19:08",
"Productivity ","00:36","2019-10-31 18:14","2019-10-31 18:51",
"Study","03:49","2019-10-31 14:25","2019-10-31 18:14",
"Productive entertainment ","00:45","2019-10-31 13:39","2019-10-31 14:25",
"Study","01:58","2019-10-31 11:40","2019-10-31 13:39",
"Transport","00:25","2019-10-31 11:02","2019-10-31 11:28",
"Food","00:54","2019-10-31 10:07","2019-10-31 11:02",
"Work Orphic","00:12","2019-10-31 09:55","2019-10-31 10:07",
"Productivity ","00:25","2019-10-31 09:29","2019-10-31 09:55",
"Routine","00:14","2019-10-31 09:14","2019-10-31 09:29",
"Sleep","07:29","2019-10-31 00:15","2019-10-31 07:45",
"Routine","00:34","2019-10-30 23:41","2019-10-31 00:15",
"Social / family","00:24","2019-10-30 23:16","2019-10-30 23:41",
"Productive entertainment ","00:46","2019-10-30 22:30","2019-10-30 23:16",
"Social / family","00:55","2019-10-30 21:35","2019-10-30 22:30",
"Transport","00:22","2019-10-30 21:12","2019-10-30 21:35",
"Productivity ","00:21","2019-10-30 20:51","2019-10-30 21:12",
"Transport","00:23","2019-10-30 20:28","2019-10-30 20:51",
"Sport","02:00","2019-10-30 18:30","2019-10-30 20:30",""
"Transport","00:11","2019-10-30 18:18","2019-10-30 18:30",""
"Food","00:25","2019-10-30 17:53","2019-10-30 18:18",
"Class","01:45","2019-10-30 16:08","2019-10-30 17:53",
"Transport","00:30","2019-10-30 15:37","2019-10-30 16:08",
"Me time","00:28","2019-10-30 15:08","2019-10-30 15:37",
"Study","00:00","2019-10-30 15:08","2019-10-30 15:08",
"Study","00:48","2019-10-30 14:20","2019-10-30 15:08",
"Food","00:15","2019-10-30 14:04","2019-10-30 14:20",
"Study","01:27","2019-10-30 12:37","2019-10-30 14:04",
"Routine","00:03","2019-10-30 12:33","2019-10-30 12:37",
"Sleep","11:31","2019-10-30 00:55","2019-10-30 12:26",
"Routine","00:06","2019-10-30 00:49","2019-10-30 00:55",
"Default actions","00:29","2019-10-30 00:19","2019-10-30 00:49",
"Conscious entertainment ","01:40","2019-10-29 22:38","2019-10-30 00:19",
"Productivity ","00:06","2019-10-29 22:32","2019-10-29 22:38",
"Transport","00:02","2019-10-29 22:29","2019-10-29 22:32",
"Sport","01:37","2019-10-29 20:31","2019-10-29 22:09",
"Transport","00:16","2019-10-29 20:15","2019-10-29 20:31",
"Social / family","00:37","2019-10-29 19:37","2019-10-29 20:15",
"Food","00:43","2019-10-29 18:54","2019-10-29 19:37",
"Transport","00:08","2019-10-29 18:46","2019-10-29 18:54",
"Work Orphic","00:27","2019-10-29 18:18","2019-10-29 18:46",
"Productivity ","00:22","2019-10-29 17:56","2019-10-29 18:18",
"Study","00:19","2019-10-29 17:36","2019-10-29 17:56",
"Conscious entertainment ","00:54","2019-10-29 16:42","2019-10-29 17:36",
"Study","00:04","2019-10-29 16:37","2019-10-29 16:42",
"Work Orphic","00:40","2019-10-29 15:54","2019-10-29 16:34",
"Work CAIJ corpo","00:57","2019-10-29 14:56","2019-10-29 15:54",
"Me time","00:19","2019-10-29 14:36","2019-10-29 14:56",
"Productivity ","00:26","2019-10-29 14:10","2019-10-29 14:36",
"Study","01:13","2019-10-29 12:57","2019-10-29 14:10",
"Food","00:39","2019-10-29 12:17","2019-10-29 12:57",
"Productivity ","00:31","2019-10-29 11:46","2019-10-29 12:17",
"Study","00:47","2019-10-29 10:59","2019-10-29 11:46",
"Productivity ","00:09","2019-10-29 10:48","2019-10-29 10:58",
"Routine","00:22","2019-10-29 10:26","2019-10-29 10:48",
"Sleep","10:33","2019-10-28 23:52","2019-10-29 10:26",
"Productive entertainment ","00:22","2019-10-28 23:29","2019-10-28 23:52",
"Routine","00:11","2019-10-28 23:18","2019-10-28 23:29",
"Work Orphic","00:03","2019-10-28 23:14","2019-10-28 23:18",
"Conscious entertainment ","00:47","2019-10-28 22:26","2019-10-28 23:13",
"Transport","00:20","2019-10-28 22:05","2019-10-28 22:26",
"Sport","00:49","2019-10-28 21:16","2019-10-28 22:05",
"Transport","00:16","2019-10-28 20:59","2019-10-28 21:16",
"Study","01:35","2019-10-28 19:23","2019-10-28 20:59",
"Food","00:52","2019-10-28 18:30","2019-10-28 19:23",
"Productivity ","02:39","2019-10-28 15:51","2019-10-28 18:30",
"Food","00:10","2019-10-28 15:41","2019-10-28 15:51",
"Routine","00:21","2019-10-28 15:19","2019-10-28 15:41",
"Sleep","11:38","2019-10-28 03:40","2019-10-28 15:19",
"Routine","00:15","2019-10-28 03:25","2019-10-28 03:40",
"Productivity ","07:54","2019-10-27 19:30","2019-10-28 03:25",
"Social / family","00:57","2019-10-27 18:33","2019-10-27 19:30",
"Food","00:32","2019-10-27 18:01","2019-10-27 18:33",
"Conscious entertainment ","01:05","2019-10-27 16:56","2019-10-27 18:01",
"Productivity ","03:04","2019-10-27 13:51","2019-10-27 16:56",
"Transport","01:01","2019-10-27 12:50","2019-10-27 13:51",
"Social / family","00:32","2019-10-27 12:18","2019-10-27 12:50",
"Food","00:33","2019-10-27 11:45","2019-10-27 12:18",
"Routine","00:09","2019-10-27 11:31","2019-10-27 11:40",
"Food","00:00","2019-10-27 11:31","2019-10-27 11:31",
"Sleep","11:23","2019-10-27 00:08","2019-10-27 11:31",
"Routine","00:18","2019-10-26 23:49","2019-10-27 00:08",
"Social / family","01:28","2019-10-26 22:20","2019-10-26 23:49",
"Transport","00:40","2019-10-26 21:39","2019-10-26 22:20",
"Social / family","00:43","2019-10-26 20:56","2019-10-26 21:39",
